Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7940700240,78500,0.1652,0,0,4215.0,1680,1.0,6,4,0,0,0,1,0,0,0,1.5,3,1.75,1962
7940700380,281750,0.1239,0,0,4215.0,762,1.0,6,4,0,0,0,1,0,1,1,1.0,2,1.75,2006
7953500410,327000,0.1712,0,0,56.0,1708,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.0,1988
7953530020,270000,0.1239,0,0,56.0,1324,1.0,6,5,0,0,0,1,0,0,1,1.0,3,1.75,1988
7953540130,327000,0.1382,0,0,56.0,1218,1.0,6,4,0,0,0,1,1,0,1,2.0,3,1.5,1990
7953540230,241000,0.1309,0,0,56.0,872,1.0,6,4,0,0,0,1,1,0,0,1.0,2,1.0,1995
7954000890,345000,0.2203,0,0,1351.0,1582,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1990
7954210010,93000,0.1405,0,0,1351.0,528,1.0,6,4,0,1,1,1,1,0,1,1.0,2,1.5,1987
7955000900,460000,0.0757,0,0,56.0,1724,1.0,6,5,0,1,1,1,0,0,1,2.0,4,1.75,1974
8000010230,149000,0.1721,0,0,5407.0,1056,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.0,2006
8000010462,248000,0.2403,0,0,5407.0,1048,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.75,1991
8000011120,280000,0.1721,0,0,5407.0,1032,1.0,6,4,0,0,0,0,1,0,1,1.0,4,1.0,2008
8000011160,83280,0.1721,0,0,5407.0,916,1.0,6,3,0,0,0,0,1,0,1,1.0,3,1.0,1983
8000012870,225000,0.1721,0,0,5407.0,1288,1.0,6,4,0,0,0,1,0,0,0,1.0,3,1.0,1988
8000070060,330000,0.2345,0,0,88.0,1360,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1995
8000091420,436900,0.1515,0,0,88.0,3038,0.45,6,5,0,0,0,1,1,0,1,2.0,5,2.75,2017
8000091480,413198,0.1495,0,0,88.0,2445,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2018
8000091570,383000,0.138,0,0,88.0,2174,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2017
8000091590,429900,0.1377,0,0,88.0,2872,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.25,2017
8000091600,432900,0.1377,0,0,88.0,2872,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2017
8000091640,424900,0.1499,0,0,88.0,2445,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2017
8000091650,402712,0.1524,0,0,88.0,2174,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2017
8000091670,435765,0.1579,0,0,88.0,2445,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2017
8000111360,220000,0.1721,0,0,5407.0,1216,1.0,5,3,0,0,0,1,0,0,1,1.0,3,1.0,1983
8000112821,275000,0.2869,0,0,5407.0,1620,1.0,5,3,0,0,0,0,1,0,0,1.0,4,2.0,1986
8000140270,334000,0.3884,0,0,88.0,1741,1.0,6,5,0,0,0,0,1,0,1,1.0,3,2.0,1996
8000140430,435000,0.5821,0,0,88.0,1640,1.0,6,5,0,1,1,1,1,0,2,2.0,3,2.5,1997
8000160250,355000,0.3298,0,0,88.0,1348,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1997
8000160270,365000,0.3295,0,0,88.0,1360,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1997
8000190660,330000,0.2288,0,0,88.0,1664,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1999
8000200040,329950,0.2002,0,0,88.0,1464,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,2000
8000220030,379000,0.1969,0,0,88.0,2144,1.0,6,5,0,0,0,0,1,0,1,2.0,4,2.5,1999
8000220200,369950,0.1956,0,0,88.0,1955,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2000
8000220460,424000,0.2227,0,0,88.0,2621,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2000
8000220480,273545,0.1987,0,0,88.0,2813,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,1999
8000250020,415000,0.2871,0,0,88.0,1790,1.0,6,6,0,0,0,1,1,0,1,1.0,3,2.0,2002
8000300120,679950,0.445,0,0,88.0,2089,1.0,6,7,0,1,1,1,1,0,3,1.0,4,3.0,2017
8000300300,669950,0.5605,0,0,88.0,3482,1.0,6,7,0,0,0,1,1,0,1,2.0,4,2.5,2017
8000360020,300000,0.0818,0,0,88.0,1014,0.8,6,5,0,0,0,1,1,0,1,1.0,2,1.75,2018
8002010240,270000,0.3122,0,0,5407.0,1198,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.75,1987
8002010300,172000,0.2066,0,0,5407.0,1411,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.75,2010
8002020220,265000,0.2249,0,0,5407.0,1524,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.75,1989
8006500290,332500,0.3224,0,0,6433.0,1322,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1989
8006500340,323000,0.2958,0,0,6433.0,1528,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1989
8007020200,335000,0.2726,0,0,943.0,1566,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1996
8015400160,452000,0.3691,1,0,6433.0,1524,1.0,6,5,0,1,1,1,1,0,1,1.0,3,2.5,1981
8015400190,274950,0.3611,0,0,6433.0,1749,1.0,6,5,1,0,0,0,1,0,2,1.0,3,1.75,2001
8015500380,480000,0.4661,1,0,6433.0,2294,1.0,6,7,1,0,0,1,1,0,1,1.0,3,2.0,1991
8015590160,682500,0.4132,1,0,6433.0,4145,1.0,6,8,0,0,0,1,1,0,2,2.0,3,2.5,1988
8040000800,527000,0.1985,1,0,1054.0,2244,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,2002
