Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
6020090080,437000,0.2824,0,0,6433.0,0,1,0,0,0,2712,1.0,6,7,0,0,0,1,1,0,2,1.5,3,2.75,1993,1,1,1,1,1
6020150010,405000,0.5851,0,0,6433.0,0,0,0,0,0,2436,1.0,6,5,0,0,0,0,1,0,0,1.0,4,3.5,1992,1,1,1,1,1
6020160040,310000,0.4441,0,0,6433.0,0,1,0,0,0,1524,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.25,1993,1,1,1,1,0
6020190660,410000,0.2718,0,0,6433.0,0,1,1,1,0,2483,1.0,6,7,0,0,0,0,1,0,1,2.0,4,2.5,1994,1,0,1,1,0
6020250030,350000,0.2408,0,0,6433.0,0,1,0,0,0,1570,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1993,1,1,1,1,1
6020290050,275000,0.2733,0,0,1043.0,0,0,0,0,0,1372,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1994,1,0,1,1,0
6020290140,336300,0.2734,0,0,1043.0,0,0,0,0,0,1796,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,1993,1,0,1,1,0
6020310150,439950,0.3535,0,0,4215.0,0,0,0,0,0,2332,1.0,6,7,0,0,0,1,1,0,2,2.0,4,2.75,1993,1,1,1,1,1
6020330030,428000,0.3202,0,0,6433.0,0,0,1,1,0,2168,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.25,1993,1,0,1,1,0
6020370210,455000,0.3549,0,0,4215.0,0,0,0,0,0,2364,1.0,6,7,0,0,0,1,1,0,2,2.0,3,2.5,1993,1,1,1,1,1
6020370390,460000,0.3099,0,0,4215.0,0,0,0,0,0,2622,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,2002,1,1,1,1,1
6020410130,385000,0.2417,0,0,4215.0,0,1,1,1,0,1726,1.0,6,5,0,0,0,1,1,0,0,1.0,3,1.75,1993,1,1,1,1,0
6020430010,403835,0.3238,0,0,6433.0,0,1,0,0,0,2040,1.0,6,7,0,0,0,0,1,0,2,2.0,3,2.25,1998,1,1,1,1,1
6020460470,429777,0.237,0,0,4215.0,0,1,0,0,0,1896,1.0,6,6,0,0,0,0,1,0,1,2.0,3,2.5,2005,1,1,1,1,1
6020490270,420000,0.2118,0,0,6433.0,1,0,0,0,0,2900,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1994,1,0,1,1,0
6020500010,459950,0.3469,0,0,6433.0,1,0,0,0,0,2530,1.0,6,8,0,0,0,1,1,0,1,2.0,3,3.0,1995,1,0,1,1,0
6020500070,464000,0.3473,0,0,6433.0,1,0,0,0,0,2874,1.0,6,7,0,0,0,1,1,0,1,2.0,4,2.5,1995,1,0,1,1,0
6020560290,320000,0.3831,0,0,6433.0,0,0,0,0,0,1562,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1995,1,0,1,1,1
6020560720,325000,0.2869,0,0,6433.0,0,0,0,0,0,1690,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1994,1,1,1,1,1
6020610170,448000,0.2307,0,0,6433.0,0,1,0,0,0,2205,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,1994,1,1,1,1,1
6020610540,350000,0.2323,0,0,6433.0,0,1,0,0,0,1948,1.0,6,5,0,0,0,1,1,0,1,1.5,4,2.5,1994,1,1,1,1,1
