Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7953500320,326000,0.1721,0,0,56.0,1380,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,1988
7953520020,385000,0.1687,0,0,56.0,1788,1.0,6,5,0,0,0,1,0,1,1,2.0,3,1.75,1995
7953520610,254765,0.1974,0,0,56.0,1442,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.5,1988
7953520710,317600,0.1606,0,0,56.0,1104,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,2000
7953530200,320000,0.1239,0,0,56.0,1540,1.0,6,5,0,0,0,1,1,0,2,2.0,3,1.75,1989
7954000750,340500,0.2203,0,0,1351.0,1656,1.0,6,4,0,0,0,1,1,0,1,2.0,3,2.25,1988
7954210050,198000,0.1405,0,0,1351.0,528,1.0,6,4,0,1,1,1,1,0,1,1.0,2,1.5,1987
7985000660,386000,0.157,0,0,4215.0,1609,1.0,6,5,0,1,0,1,0,1,1,1.5,2,1.0,1966
8000010024,300000,0.3443,0,0,5407.0,2056,1.0,6,4,0,0,0,0,0,0,1,2.0,3,1.5,1998
8000010961,150000,0.1721,0,0,5407.0,1254,1.0,6,3,0,0,0,0,0,0,1,1.0,3,1.0,1983
8000011240,239500,0.2008,0,0,5407.0,1640,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.5,1983
8000011742,266000,0.1721,0,0,5407.0,1216,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1986
8000012880,220000,0.1721,0,0,5407.0,795,1.0,6,3,0,0,0,0,1,0,0,1.0,3,1.0,1988
8000080370,419900,0.1856,0,0,88.0,2445,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2015
8000091380,458022,0.1378,0,0,88.0,2989,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.75,2018
8000091450,451900,0.1377,0,0,88.0,2989,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.75,2018
8000091560,409900,0.1382,0,0,88.0,2445,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2017
8000091630,394647,0.1726,0,0,88.0,2174,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2017
8000091660,418589,0.1575,0,0,88.0,2445,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2017
8000091680,496032,0.2115,0,0,88.0,3205,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.75,2017
8000110837,280000,0.1148,0,0,5407.0,1536,1.0,6,5,0,0,0,1,1,0,0,2.0,3,2.5,2007
8000111092,252000,0.1721,0,0,5407.0,1590,1.0,6,5,0,0,0,0,1,0,1,2.0,3,1.5,1987
8000111220,270000,0.2295,0,0,5407.0,1462,1.0,6,4,0,0,0,0,0,0,0,1.0,4,2.0,1995
8000111300,200000,0.1721,0,0,5407.0,1066,1.0,6,3,0,0,0,0,1,0,0,1.0,3,1.0,1983
8000111370,274900,0.1721,0,0,5407.0,1216,1.0,6,4,0,0,0,1,0,0,0,1.0,3,1.75,2003
8000112450,239000,0.1721,0,0,5407.0,1040,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1987
8000112471,159000,0.1721,0,0,5407.0,1011,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1987
8000113186,280000,0.2152,0,0,5407.0,1568,1.0,6,4,0,0,0,0,1,0,2,1.0,4,2.0,1987
8000114306,325000,0.2123,0,0,5407.0,1657,0.6,6,4,0,0,0,0,1,0,0,2.0,4,2.5,2018
8000120190,335000,0.301,0,0,1351.0,2062,1.0,6,5,0,0,0,1,0,1,0,2.0,3,1.75,1995
8000140400,108359,0.2542,0,0,88.0,2732,1.0,6,5,0,0,0,1,1,0,0,2.0,5,3.5,1998
8000140470,249600,0.287,0,0,88.0,1360,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1997
8000190010,420000,0.3943,0,0,88.0,2315,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,1998
8000190370,304449,0.2419,0,0,88.0,1702,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1999
8000220510,449000,0.2136,0,0,88.0,3077,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2000
8000300520,595000,0.3922,0,0,88.0,3447,1.0,6,7,0,0,0,1,1,0,1,2.0,5,2.75,2016
8000300740,650000,0.4147,0,0,88.0,4001,1.0,6,7,0,0,0,1,1,0,3,2.0,4,3.5,2013
8000360050,316500,0.0838,0,0,88.0,1014,1.0,6,5,0,0,0,1,1,0,1,1.0,2,1.75,2018
8002010010,344950,0.2066,0,0,5407.0,1770,1.0,6,5,0,0,0,1,1,0,2,1.0,3,1.75,1987
8002010420,332500,0.3236,0,0,5407.0,1872,1.0,6,4,0,0,0,1,1,0,1,2.0,3,2.5,1987
8015300110,324950,0.4783,0,0,6433.0,1970,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.75,2002
8015400180,370000,0.4597,0,0,6433.0,2067,1.0,6,6,0,0,0,1,1,0,1,1.0,3,2.5,1980
8015500340,369000,0.4314,1,0,6433.0,1460,1.0,6,5,0,1,1,1,1,0,1,1.0,3,2.25,1981
8015520060,350000,0.5509,1,0,6433.0,1600,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1986
8050000650,291000,0.1262,0,0,1351.0,1466,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.0,1977
8050000830,185000,0.0883,0,0,1351.0,587,1.0,6,3,0,0,0,1,0,0,0,1.0,2,1.0,1989
8050900070,360000,0.2065,0,0,1351.0,1734,1.0,6,5,0,0,0,1,1,0,1,2.0,3,3.0,1989
8052020030,240000,0.4224,0,0,1275.0,1989,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,2002
8935010260,217126,0.14800000000000002,0,0,943.0,1954,1.0,4,4,0,0,0,0,0,0,1,1.5,4,1.0,1962
8935010390,260000,0.1134,0,0,943.0,864,1.0,6,4,1,0,0,1,0,0,1,1.0,4,1.0,1974
8935011600,164200,0.1492,0,0,943.0,1064,1.0,5,3,1,0,0,0,0,1,1,1.0,4,1.0,1964
8935011610,288450,0.1492,0,0,943.0,928,1.0,6,5,1,1,0,1,0,0,0,1.0,3,1.0,1992
8935012800,425000,0.2238,0,0,943.0,2872,1.0,6,3,0,0,0,0,0,0,0,4.0,6,4.0,1974
8935012860,150000,0.1104,0,0,943.0,634,1.0,5,4,0,0,0,0,0,0,0,1.0,1,1.0,1965
8935013220,222000,0.1492,0,0,943.0,1248,1.0,4,4,0,0,0,0,0,0,0,1.0,2,1.0,1968
8935013650,141000,0.1492,0,0,943.0,1785,1.0,4,2,0,0,0,0,0,0,0,1.5,4,1.0,1950
8935015660,326500,0.1492,0,0,943.0,1832,1.0,6,5,0,1,0,0,0,0,0,1.5,4,2.0,1983
8935016310,280000,0.1285,0,0,943.0,1182,1.0,6,5,0,1,0,1,0,0,0,1.5,2,1.75,1974
8935016400,285000,0.1285,0,0,943.0,1631,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.0,1974
8935016740,240000,0.1492,0,0,943.0,1164,1.0,6,4,0,0,0,0,0,0,0,1.0,2,1.0,1992
8935017300,239000,0.2238,0,0,943.0,984,1.0,5,4,1,1,1,1,0,1,2,1.0,3,2.0,1984
8935018110,230000,0.1205,0,0,943.0,1337,1.0,5,4,0,0,0,0,0,0,2,1.0,2,1.0,1966
8935020150,320000,0.1652,0,0,943.0,1319,1.0,6,4,0,0,0,0,1,0,1,1.0,3,2.0,2018
8935022240,270000,0.1377,0,0,943.0,1112,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1990
8935023480,377145,0.1469,0,0,943.0,2096,1.0,6,4,0,0,0,0,0,0,1,1.5,4,3.0,1986
8935023650,295000,0.1402,0,0,943.0,1746,1.0,6,5,0,0,0,1,0,0,1,1.5,3,2.0,1978
8935023660,285000,0.1492,0,0,943.0,1568,1.0,6,4,0,1,0,1,0,0,0,1.5,4,1.0,1956
8935024232,215000,0.1092,0,0,943.0,1388,1.0,6,3,0,1,0,0,0,1,0,1.5,3,1.75,1975
8935024470,303750,0.1492,0,0,943.0,1344,1.0,6,4,1,1,1,1,0,0,1,1.0,4,2.0,1980
8935024520,290000,0.1492,0,0,943.0,1592,1.0,6,4,0,0,0,0,0,0,2,1.0,3,1.75,1971
8935024880,299992,0.1104,0,0,943.0,1732,1.0,6,3,0,0,0,0,0,0,1,2.5,3,2.0,1973
8935025560,170000,0.0413,0,0,943.0,690,1.0,6,3,0,0,0,0,0,0,0,1.0,1,1.0,1984
8935026660,278000,0.1021,0,0,943.0,1664,1.0,6,4,0,1,1,1,0,1,1,1.5,4,1.5,1990
8935028070,250000,0.1492,0,0,943.0,794,1.0,6,3,0,1,1,0,0,0,0,1.0,2,1.75,1988
8935029250,319900,0.179,0,0,943.0,1788,0.75,4,3,0,0,0,0,0,0,0,2.0,4,2.0,1988
8935029390,235000,0.0688,0,0,943.0,900,1.0,6,4,1,1,0,1,0,0,1,1.0,4,1.0,1960
8940200090,329000,0.1854,0,0,4215.0,1144,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.5,2000
