Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
219052027,288620,0.3199,0,0,46.0,0,0,1,1,0,1339,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.5,1997,1,1,1,1,1
219055006,515000,0.5165,0,0,46.0,1,0,1,1,0,2386,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,2017,1,1,1,1,1
219062026,475000,0.5001,1,0,46.0,0,0,0,1,0,2062,1.0,6,4,0,0,0,0,0,0,1,2.0,3,2.5,1980,1,1,1,1,1
122214053,259000,0.18,0,0,451.0,0,1,0,0,0,1008,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.0,1995,1,0,1,1,0
122217011,247500,0.58,0,0,451.0,0,1,0,0,0,1248,1.0,6,3,0,0,0,0,0,0,1,1.0,2,1.0,1986,1,0,1,0,0
122272050,589000,0.3673,1,0,451.0,0,0,0,0,0,1356,1.0,6,7,0,1,1,1,0,0,1,1.0,3,1.75,1983,1,0,1,1,0
122286027,339500,0.6699,0,0,451.0,0,0,0,0,0,1462,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,2005,1,0,1,0,0
122325014,464950,0.36,0,0,451.0,0,0,0,0,0,1280,1.0,6,5,0,1,1,1,1,0,2,1.0,3,2.5,2004,1,0,1,0,0
219012016,210000,0.1446,0,0,46.0,1,1,0,1,0,798,1.0,6,3,0,0,0,0,1,0,0,1.0,2,1.0,1986,1,1,1,1,0
219014009,230000,0.2203,0,0,46.0,1,1,0,0,0,1384,1.0,6,5,0,0,0,1,0,0,1,1.0,3,1.5,1972,1,1,1,1,0
219034046,665000,0.3712,0,1,46.0,1,0,1,0,0,3287,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.75,1974,1,1,1,1,1
219048017,339000,0.45,0,0,46.0,1,1,0,0,0,1683,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1995,1,1,1,1,1
219085015,249950,0.21,0,0,46.0,1,0,0,0,0,1212,1.0,6,3,0,0,0,1,0,0,0,1.0,3,1.5,1996,1,1,1,1,1
219094043,230000,0.2307,0,0,46.0,1,1,0,0,0,1075,1.0,6,4,0,0,0,1,0,0,1,1.0,2,1.0,1973,1,1,1,1,1
219094076,280000,0.2059,0,0,46.0,1,1,0,0,0,1848,1.0,6,5,0,0,0,1,0,0,1,1.0,5,2.25,1983,1,1,1,1,1
219096008,314000,0.2899,0,0,46.0,1,1,0,0,0,1844,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1995,1,1,1,1,1
219098021,325000,0.1574,0,0,46.0,1,1,0,0,0,1640,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2011,1,1,1,1,1
219092057,255000,0.2203,0,0,46.0,1,1,0,0,0,1136,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.0,1990,1,1,1,1,1
219102040,370000,0.3305,0,0,46.0,1,1,0,0,0,1801,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.5,1996,1,1,1,1,1
219105006,585000,0.6198,0,0,46.0,1,1,1,0,0,2404,1.0,6,6,0,1,1,1,1,0,1,2.0,4,2.75,1988,1,1,1,1,1
219113123,415000,0.5399,0,0,46.0,1,0,1,0,0,2120,1.0,6,5,0,0,0,0,0,0,1,1.0,4,2.0,1979,1,1,1,1,1
219141030,183000,0.2066,0,0,46.0,1,0,0,0,0,892,1.0,6,3,0,0,0,1,0,0,0,1.0,2,1.0,1993,1,1,1,1,0
219142002,190000,0.2,0,0,46.0,1,0,0,0,0,1402,1.0,6,6,0,0,0,0,0,0,0,2.0,2,1.0,1979,1,1,1,1,0
219211028,172000,0.1721,0,0,46.0,0,1,1,0,0,864,1.0,6,3,0,0,0,1,0,0,0,1.0,2,2.0,1978,1,1,1,1,0
219212107,177500,0.0424,0,0,46.0,0,1,1,0,0,728,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1985,1,1,1,1,0
220012105,389000,0.1545,0,0,1351.0,0,1,0,0,0,1540,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.5,1984,1,1,1,1,1
220012108,260000,0.1177,0,0,1351.0,0,1,0,0,0,1024,1.0,6,4,0,0,0,0,1,0,1,1.0,2,1.0,1973,1,1,1,1,1
220012195,285000,0.1636,0,0,1351.0,0,0,0,0,0,1598,1.0,6,3,0,0,0,1,0,0,1,1.0,3,1.0,1978,1,1,1,1,1
220014091,303750,0.1515,0,0,1351.0,0,1,0,0,0,1520,1.0,6,4,0,0,0,0,0,0,0,1.5,4,1.75,1971,1,1,1,1,1
220014100,280000,0.1377,0,0,1351.0,0,1,0,0,0,879,1.0,6,4,1,0,0,0,1,0,1,1.0,3,1.0,1990,1,1,1,1,1
220014106,264130,0.1515,0,0,1351.0,0,1,0,0,0,780,1.0,6,4,0,1,1,0,0,0,1,1.0,2,1.0,1973,1,1,1,1,1
220014122,278500,0.1515,0,0,1351.0,0,1,0,0,0,1120,1.0,5,4,0,0,0,1,0,0,1,1.0,3,1.5,1979,1,1,1,1,1
220014127,227000,0.1377,0,0,1351.0,0,1,0,0,0,1300,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.0,1982,1,1,1,1,1
